v_x,v_y,yaw_rate(psi_dot),pitch(theta),roll(phi),steering(delta)
1.222377342,-0.02932016,-2.7325,-1.004506826,1.1537323,-0.395229358
1.242386849,-0.022128355,-3.03,-1.008328199,1.142539978,-0.395229358
1.264791817,-0.023740013,-3.5225,-0.982232153,1.135716081,-0.395229358
1.283909526,-0.019408839,-3.99625,-0.953303039,1.131424785,-0.395229358
1.302695282,-0.017156832,-4.52875,-0.950158477,1.13753736,-0.395229358
1.364110101,-0.033258284,-5.09375,-1.019102097,1.087819576,-0.395229358
1.38858329,-0.032768306,-5.8025,-0.997897148,1.059689641,-0.395229358
1.415251461,-0.031438058,-6.4675,-0.996525466,1.025582552,-0.305412844
1.438571118,-0.025629808,-7.14625,-1.006678343,1.034836292,-0.23233945
1.462358756,-0.022451766,-7.53625,-1.009961843,1.028030276,-0.160366972
1.518928888,-0.051483462,-7.835,-1.080679059,0.95953095,-0.091559633
1.553240093,-0.042265793,-7.46875,-1.086933732,0.953532755,-0.02766055
1.588179988,-0.033358233,-7.11875,-1.092957497,0.973383725,-0.011284404
1.626118638,-0.034133117,-6.84125,-1.094515085,0.988177001,-0.003761468
1.665179991,-0.033027016,-6.62125,-1.058328867,0.991932333,-9.17E-05
1.729759955,-0.039395665,-6.0725,-1.10453701,1.012535095,-9.17E-05
1.761505703,-0.035919361,-5.4875,-1.117188692,1.10159874,-9.17E-05
1.801901982,-0.032284869,-5.08125,-1.120755672,1.149493456,-9.17E-05
1.827455385,-0.031127083,-4.5325,-1.075887918,1.167123079,-9.17E-05
1.852373519,-0.021746767,-4.16625,-1.068430781,1.210612535,-9.17E-05
1.887040941,-0.048750234,-3.5075,-1.142221212,1.167430282,-9.17E-05
1.902024647,-0.051185985,-3.33875,-1.162072539,1.152121067,-9.17E-05
1.91363489,-0.037710334,-2.66,-1.181964397,1.13328588,-9.17E-05
1.932904076,-0.035450863,-2.40125,-1.13325119,1.13875258,-9.17E-05
1.948781701,-0.024151012,-1.81375,-1.128462195,1.182411909,-9.17E-05
1.966146612,-0.021599712,-1.26625,-1.152283311,1.214480639,-9.17E-05
2.031473536,-0.048641525,-0.87625,-1.226319194,1.193873405,0.019311927
2.051371853,-0.043993232,-0.09125,-1.186263204,1.22250545,0.216926606
2.07851081,-0.034799242,0.47125,-1.179068446,1.291076899,0.329908257
2.103370252,-0.03229467,1.31625,-1.158183455,1.332774639,0.348899083
2.163158447,-0.052556972,1.88875,-1.225258589,1.30691421,0.481651376
2.192055973,-0.039201543,2.8475,-1.245206356,1.312807679,0.481651376
2.220269708,-0.040161448,3.1425,-1.19288671,1.372099638,0.481651376
2.229762927,-0.026562709,4.08625,-1.212234735,1.443466306,0.481651376
2.250448466,-0.027024732,4.30875,-1.200159073,1.506096125,0.481651376
2.295570043,-0.060492892,5.135,-1.224927425,1.455382466,0.481651376
2.316741401,-0.041995367,5.68375,-1.204022884,1.451053739,0.481651376
2.345110938,-0.050484042,6.27375,-1.132214785,1.482110739,0.481651376
2.364969941,-0.035562316,7.25375,-1.147982001,1.521222234,0.481651376
2.397915668,-0.032438855,8.04625,-1.141975284,1.59482789,0.481651376
2.44981157,-0.043837584,8.805,-1.155175805,1.69111228,0.481651376
2.470312311,-0.036024494,10.10125,-1.153356791,1.773652196,0.481651376
2.503612279,-0.044973491,10.77125,-1.12996316,1.809281111,0.481651376
2.512525924,-0.035552619,11.815,-1.076165199,1.831731558,0.481651376
2.49694965,-0.042654209,12.46875,-1.109791994,1.806208134,0.481651376
2.49972819,-0.045445515,12.98875,-1.198104978,1.810889482,0.481651376
2.480863369,-0.041517264,13.715,-1.18767786,1.866070747,0.481651376
2.445088023,-0.045761492,13.71,-1.139211297,1.945262432,0.481651376
2.416190349,-0.036707518,14.5525,-1.090562224,2.026805878,0.342522936
2.439828526,-0.04008818,15.18625,-1.01352644,2.073067665,0.187614679
2.43021996,-0.070288067,13.89125,-0.99067235,1.991209745,0.187614679
2.386236177,-0.054903476,13.47,-1.002533555,1.90455246,0.031422018
2.369381435,-0.063338216,12.5825,-0.983642638,1.854813337,-9.17E-05
2.361749233,-0.056166402,12.26125,-0.906611204,1.846004725,-9.17E-05
2.336786636,-0.056565809,11.5025,-0.8720209,1.834305644,-9.17E-05
2.313165438,-0.061987624,10.70625,-0.810176253,1.837443471,-9.17E-05
2.332644101,-0.059912696,10.1425,-0.796624601,1.803946257,-9.17E-05
2.310655024,-0.071232664,9.10875,-0.730280221,1.725037336,-9.17E-05
2.30105278,-0.068587583,8.4225,-0.709252477,1.63487947,-9.17E-05
2.276572908,-0.067968059,7.665,-0.698123574,1.534136176,-9.17E-05
2.254534848,-0.078105643,6.4475,-0.676789284,1.482491612,-9.17E-05
2.230256357,-0.074037331,5.97375,-0.725019276,1.432487726,-9.17E-05
2.207255255,-0.081334027,5.15875,-0.721000075,1.41719532,-9.17E-05
2.179594423,-0.079415125,4.57875,-0.664326787,1.438514948,-9.17E-05
2.15328132,-0.079629189,4.07375,-0.653632224,1.443219304,-9.17E-05
2.122631008,-0.088974966,3.40125,-0.626135886,1.411167145,-9.17E-05
2.112233372,-0.080652356,2.97,-0.653041005,1.377177,-9.17E-05
2.080799229,-0.078400783,2.4125,-0.63786757,1.342431784,-0.001972477
2.055745869,-0.087537491,1.6575,-0.642055929,1.320035338,-0.002477064
2.017434774,-0.090500617,1.0925,-0.622992814,1.262407541,-0.002477064
2.010223434,-0.075594968,0.5925,-0.66790837,1.218500257,-0.002477064
1.984285142,-0.075065684,-0.0375,-0.614013076,1.189234972,-0.017798165
1.954024152,-0.074662015,-0.74125,-0.594738126,1.177531719,-0.091559633
1.925480059,-0.078823824,-1.39625,-0.591468453,1.146221042,-0.119770642
1.896868841,-0.079885773,-1.94,-0.595260382,1.099446416,-0.143486239
1.860989164,-0.071336511,-2.33375,-0.590917826,1.065065861,-0.187614679
1.858741688,-0.075638492,-2.78,-0.624921143,1.04157865,-0.201926606
1.832527751,-0.082143353,-3.27375,-0.618927956,1.017714262,-0.206926606
1.801969767,-0.079562208,-3.67,-0.611717403,0.973839402,-0.211834862
1.770067968,-0.07721969,-4.005,-0.633814394,0.955931842,-0.264862385
1.754472392,-0.062418593,-4.45625,-0.630275667,0.973264873,-0.276100917
1.725147822,-0.057837741,-4.74,-0.614982903,0.966477334,-0.276100917
1.696653115,-0.062702501,-5.52,-0.589753211,0.950868487,-0.276100917
1.663404239,-0.061219286,-5.77,-0.576147616,0.895950735,-0.276100917
1.632480882,-0.059156717,-6.42,-0.555334926,0.839990079,-0.276100917
1.628657188,-0.050588749,-6.5825,-0.609795153,0.82138449,-0.276100917
1.599704273,-0.050697595,-7.155,-0.594811141,0.846146226,-0.276100917
1.570118227,-0.052703717,-7.72125,-0.552931011,0.880708039,-0.276100917
1.536877302,-0.04551425,-7.8675,-0.510155976,0.908751249,-0.276100917
1.506935497,-0.042808284,-8.33625,-0.511647403,0.95996809,-0.276100917
1.508028224,-0.043632399,-8.435,-0.538868368,1.006044626,-0.276100917
1.481980034,-0.044451646,-8.8,-0.534541905,1.051527262,-0.276100917
1.456840852,-0.04060092,-9.115,-0.520087063,1.070295572,-0.276100917
1.432257213,-0.039073544,-9.47375,-0.535823941,1.067751169,-0.276100917
1.410499443,-0.033103227,-9.58125,-0.533681452,1.060669899,-0.276100917
1.409645242,-0.044418488,-9.45125,-0.59519434,1.030219913,-0.276100917
